SteelPlant
Time,P[MW],L1-P[MW],L2-P[MW],L3-P[MW],L4-P[MW]
2030-01-07 00:00:00,50.19684963344818,12.549212408362045,12.549212408362045,12.549212408362045,12.549212408362045
2030-01-07 00:15:00,50.91893785412043,12.729734463530107,12.729734463530107,12.729734463530107,12.729734463530107
2030-01-07 00:30:00,50.76084431689373,12.690211079223433,12.690211079223433,12.690211079223433,12.690211079223433
2030-01-07 00:45:00,49.37010369488232,12.34252592372058,12.34252592372058,12.34252592372058,12.34252592372058
2030-01-07 01:00:00,47.84789761507628,11.96197440376907,11.96197440376907,11.96197440376907,11.96197440376907
2030-01-07 01:15:00,48.1918182191873,12.047954554796824,12.047954554796824,12.047954554796824,12.047954554796824
2030-01-07 01:30:00,48.05535723475517,12.013839308688793,12.013839308688793,12.013839308688793,12.013839308688793
2030-01-07 01:45:00,48.27742368469253,12.069355921173132,12.069355921173132,12.069355921173132,12.069355921173132
2030-01-07 02:00:00,50.89748247119353,12.724370617798382,12.724370617798382,12.724370617798382,12.724370617798382
2030-01-07 02:15:00,50.712103169436084,12.678025792359021,12.678025792359021,12.678025792359021,12.678025792359021
2030-01-07 02:30:00,50.98555539510116,12.74638884877529,12.74638884877529,12.74638884877529,12.74638884877529
2030-01-07 02:45:00,51.08881179560804,12.77220294890201,12.77220294890201,12.77220294890201,12.77220294890201
2030-01-07 03:00:00,51.63161820106833,12.907904550267082,12.907904550267082,12.907904550267082,12.907904550267082
2030-01-07 03:15:00,51.783443365558405,12.945860841389601,12.945860841389601,12.945860841389601,12.945860841389601
2030-01-07 03:30:00,51.75680642517815,12.939201606294537,12.939201606294537,12.939201606294537,12.939201606294537
2030-01-07 03:45:00,47.46510445853795,11.866276114634488,11.866276114634488,11.866276114634488,11.866276114634488
2030-01-07 04:00:00,41.51479372124997,10.378698430312493,10.378698430312493,10.378698430312493,10.378698430312493
2030-01-07 04:15:00,30.702095294793942,7.6755238236984855,7.6755238236984855,7.6755238236984855,7.6755238236984855
2030-01-07 04:30:00,29.29400187320504,7.32350046830126,7.32350046830126,7.32350046830126,7.32350046830126
2030-01-07 04:45:00,28.769913312980545,7.192478328245136,7.192478328245136,7.192478328245136,7.192478328245136
2030-01-07 05:00:00,29.262538873797016,7.315634718449254,7.315634718449254,7.315634718449254,7.315634718449254
2030-01-07 05:15:00,29.75708388108378,7.439270970270945,7.439270970270945,7.439270970270945,7.439270970270945
2030-01-07 05:30:00,32.92760389188969,8.231900972972422,8.231900972972422,8.231900972972422,8.231900972972422
2030-01-07 05:45:00,42.09053569327619,10.522633923319047,10.522633923319047,10.522633923319047,10.522633923319047
2030-01-07 06:00:00,56.41505581140744,14.10376395285186,14.10376395285186,14.10376395285186,14.10376395285186
2030-01-07 06:15:00,63.280791864457925,15.820197966114481,15.820197966114481,15.820197966114481,15.820197966114481
2030-01-07 06:30:00,65.8489580211802,16.46223950529505,16.46223950529505,16.46223950529505,16.46223950529505
2030-01-07 06:45:00,71.19901172263076,17.79975293065769,17.79975293065769,17.79975293065769,17.79975293065769
2030-01-07 07:00:00,115.07763600945506,28.769409002363766,28.769409002363766,28.769409002363766,28.769409002363766
2030-01-07 07:15:00,130.38932162101497,32.59733040525374,32.59733040525374,32.59733040525374,32.59733040525374
2030-01-07 07:30:00,138.25484020045909,34.56371005011477,34.56371005011477,34.56371005011477,34.56371005011477
2030-01-07 07:45:00,139.08159755953722,34.770399389884304,34.770399389884304,34.770399389884304,34.770399389884304
2030-01-07 08:00:00,143.48357385307037,35.87089346326759,35.87089346326759,35.87089346326759,35.87089346326759
2030-01-07 08:15:00,141.62550691712505,35.40637672928126,35.40637672928126,35.40637672928126,35.40637672928126
2030-01-07 08:30:00,137.20901206055072,34.30225301513768,34.30225301513768,34.30225301513768,34.30225301513768
2030-01-07 08:45:00,141.37099585402675,35.342748963506686,35.342748963506686,35.342748963506686,35.342748963506686
2030-01-07 09:00:00,140.35138366442754,35.087845916106886,35.087845916106886,35.087845916106886,35.087845916106886
2030-01-07 09:15:00,139.21486621910125,34.80371655477531,34.80371655477531,34.80371655477531,34.80371655477531
2030-01-07 09:30:00,141.6425230717959,35.41063076794897,35.41063076794897,35.41063076794897,35.41063076794897
2030-01-07 09:45:00,148.26000370025557,37.06500092506389,37.06500092506389,37.06500092506389,37.06500092506389
2030-01-07 10:00:00,122.29004517599208,30.57251129399802,30.57251129399802,30.57251129399802,30.57251129399802
2030-01-07 10:15:00,111.12404329457544,27.78101082364386,27.78101082364386,27.78101082364386,27.78101082364386
2030-01-07 10:30:00,112.44026905314746,28.110067263286865,28.110067263286865,28.110067263286865,28.110067263286865
2030-01-07 10:45:00,105.36141075514296,26.34035268878574,26.34035268878574,26.34035268878574,26.34035268878574
2030-01-07 11:00:00,87.90091885995821,21.975229714989553,21.975229714989553,21.975229714989553,21.975229714989553
2030-01-07 11:15:00,63.600508712263014,15.900127178065754,15.900127178065754,15.900127178065754,15.900127178065754
2030-01-07 11:30:00,46.97311274418618,11.743278186046545,11.743278186046545,11.743278186046545,11.743278186046545
2030-01-07 11:45:00,66.11115822717248,16.52778955679312,16.52778955679312,16.52778955679312,16.52778955679312
2030-01-07 12:00:00,112.52883670715441,28.132209176788603,28.132209176788603,28.132209176788603,28.132209176788603
2030-01-07 12:15:00,128.79962143572527,32.19990535893132,32.19990535893132,32.19990535893132,32.19990535893132
2030-01-07 12:30:00,134.50460513664265,33.62615128416066,33.62615128416066,33.62615128416066,33.62615128416066
