PowerPlant
Time,P[MW],G1-P[MW],G2-P[MW]
2030-01-07 00:00:00,45.17718824079798,22.58859412039899,22.58859412039899
2030-01-07 00:15:00,45.82706797847051,22.913533989235255,22.913533989235255
2030-01-07 00:30:00,45.68478372073126,22.84239186036563,22.84239186036563
2030-01-07 00:45:00,44.433116507877564,22.216558253938782,22.216558253938782
2030-01-07 01:00:00,43.0631303212771,21.53156516063855,21.53156516063855
2030-01-07 01:15:00,43.372659026470174,21.686329513235087,21.686329513235087
2030-01-07 01:30:00,43.249844076403924,21.624922038201962,21.624922038201962
2030-01-07 01:45:00,43.44970398562223,21.724851992811114,21.724851992811114
2030-01-07 02:00:00,45.8077581237616,22.9038790618808,22.9038790618808
2030-01-07 02:15:00,45.64091666513223,22.820458332566115,22.820458332566115
2030-01-07 02:30:00,45.88702379663445,22.943511898317226,22.943511898317226
2030-01-07 02:45:00,45.97995460557626,22.98997730278813,22.98997730278813
2030-01-07 03:00:00,46.46848062537352,23.23424031268676,23.23424031268676
2030-01-07 03:15:00,46.605123344706406,23.302561672353203,23.302561672353203
2030-01-07 03:30:00,46.58115008585641,23.290575042928204,23.290575042928204
2030-01-07 03:45:00,42.718616300646254,21.359308150323127,21.359308150323127
2030-01-07 04:00:00,37.363333843028116,18.681666921514058,18.681666921514058
2030-01-07 04:15:00,27.631900181950602,13.815950090975301,13.815950090975301
2030-01-07 04:30:00,26.364615441328894,13.182307720664447,13.182307720664447
2030-01-07 04:45:00,25.892935491033093,12.946467745516546,12.946467745516546
2030-01-07 05:00:00,26.336298727087748,13.168149363543874,13.168149363543874
2030-01-07 05:15:00,26.781389465866965,13.390694732933483,13.390694732933483
2030-01-07 05:30:00,29.634858964358205,14.817429482179103,14.817429482179103
2030-01-07 05:45:00,37.88150188820012,18.94075094410006,18.94075094410006
2030-01-07 06:00:00,50.773576720814646,25.386788360407323,25.386788360407323
2030-01-07 06:15:00,56.95274239247093,28.476371196235466,28.476371196235466
2030-01-07 06:30:00,59.264093139442465,29.632046569721233,29.632046569721233
2030-01-07 06:45:00,64.0791439829471,32.03957199147355,32.03957199147355
2030-01-07 07:00:00,103.56992644496474,51.78496322248237,51.78496322248237
2030-01-07 07:15:00,117.35045068520364,58.67522534260182,58.67522534260182
2030-01-07 07:30:00,124.42942110007726,62.21471055003863,62.21471055003863
2030-01-07 07:45:00,125.1735031114641,62.58675155573205,62.58675155573205
2030-01-07 08:00:00,129.13528384265888,64.56764192132944,64.56764192132944
2030-01-07 08:15:00,127.4630227278245,63.73151136391225,63.73151136391225
2030-01-07 08:30:00,123.48817528307524,61.74408764153762,61.74408764153762
2030-01-07 08:45:00,127.23396265152647,63.616981325763234,63.616981325763234
2030-01-07 09:00:00,126.31631120211277,63.158155601056386,63.158155601056386
2030-01-07 09:15:00,125.29344496765005,62.64672248382502,62.64672248382502
2030-01-07 09:30:00,127.47833727501846,63.73916863750923,63.73916863750923
2030-01-07 09:45:00,133.43407294797092,66.71703647398546,66.71703647398546
2030-01-07 10:00:00,110.06109808154453,55.030549040772264,55.030549040772264
2030-01-07 10:15:00,100.01169114510346,50.00584557255173,50.00584557255173
2030-01-07 10:30:00,101.19629494587211,50.598147472936056,50.598147472936056
2030-01-07 10:45:00,94.82531915368241,47.41265957684121,47.41265957684121
2030-01-07 11:00:00,79.11086824917648,39.55543412458824,39.55543412458824
2030-01-07 11:15:00,57.24048770562342,28.62024385281171,28.62024385281171
2030-01-07 11:30:00,42.27582352670747,21.137911763353735,21.137911763353735
2030-01-07 11:45:00,59.50007344795563,29.750036723977814,29.750036723977814
2030-01-07 12:00:00,101.27600587606666,50.63800293803333,50.63800293803333
2030-01-07 12:15:00,115.91971977197501,57.959859885987505,57.959859885987505
2030-01-07 12:30:00,121.05420778166256,60.52710389083128,60.52710389083128
2030-01-07 12:45:00,118.62343761315154,59.31171880657577,59.31171880657577
2030-01-07 13:00:00,105.90037310351595,52.95018655175797,52.95018655175797
2030-01-07 13:15:00,104.51067448420552,52.25533724210276,52.25533724210276
2030-01-07 13:30:00,104.22808849355638,52.11404424677819,52.11404424677819
2030-01-07 13:45:00,100.31398067168413,50.15699033584207,50.15699033584207
2030-01-07 14:00:00,101.80120081943846,50.90060040971923,50.90060040971923
2030-01-07 14:15:00,104.00570421645857,52.002852108229284,52.002852108229284
2030-01-07 14:30:00,107.74143816873381,53.870719084366904,53.870719084366904
2030-01-07 14:45:00,105.20323027166609,52.60161513583304,52.60161513583304
2030-01-07 15:00:00,95.64376765566286,47.82188382783143,47.82188382783143
2030-01-07 15:15:00,98.59589177423649,49.297945887118246,49.297945887118246
2030-01-07 15:30:00,109.75187631430387,54.875938157151936,54.875938157151936
2030-01-07 15:45:00,110.77741983730206,55.38870991865103,55.38870991865103
2030-01-07 16:00:00,110.13842179707486,55.06921089853743,55.06921089853743
2030-01-07 16:15:00,119.32314796906078,59.66157398453039,59.66157398453039
2030-01-07 16:30:00,125.07657650269836,62.53828825134918,62.53828825134918
2030-01-07 16:45:00,129.0095491579746,64.5047745789873,64.5047745789873
2030-01-07 17:00:00,128.35794105428033,64.17897052714017,64.17897052714017
2030-01-07 17:15:00,127.04713627025076,63.52356813512538,63.52356813512538
2030-01-07 17:30:00,126.6935680640761,63.34678403203805,63.34678403203805
2030-01-07 17:45:00,126.72163450412,63.36081725206,63.36081725206
2030-01-07 18:00:00,125.89219126277857,62.946095631389284,62.946095631389284
2030-01-07 18:15:00,127.56200439285541,63.78100219642771,63.78100219642771
