PowerPlant
Time,P[MW],G1-P[MW],G2-P[MW]
2023-01-07 00:00:00,16.6518482297813,8.32592411489065,8.32592411489065
2023-01-07 00:15:00,16.891387235654193,8.445693617827096,8.445693617827096
2023-01-07 00:30:00,16.838942717577225,8.419471358788613,8.419471358788613
2023-01-07 00:45:00,16.3775910205318,8.1887955102659,8.1887955102659
2023-01-07 01:00:00,15.872628163291235,7.936314081645618,7.936314081645618
2023-01-07 01:15:00,15.986717269372015,7.9933586346860075,7.9933586346860075
2023-01-07 01:30:00,15.941448938418112,7.970724469209056,7.970724469209056
2023-01-07 01:45:00,16.015115251110753,8.007557625555377,8.007557625555377
2023-01-07 02:00:00,16.884269821258282,8.442134910629141,8.442134910629141
2023-01-07 02:15:00,16.822773770801938,8.411386885400969,8.411386885400969
2023-01-07 02:30:00,16.913486335297954,8.456743167648977,8.456743167648977
2023-01-07 02:45:00,16.947739678337395,8.473869839168698,8.473869839168698
2023-01-07 03:00:00,17.12780535871139,8.563902679355696,8.563902679355696
2023-01-07 03:15:00,17.17817046359371,8.589085231796854,8.589085231796854
2023-01-07 03:30:00,17.16933416626117,8.584667083130585,8.584667083130585
2023-01-07 03:45:00,15.745643828763841,7.8728219143819205,7.8728219143819205
2023-01-07 04:00:00,13.771741640859725,6.885870820429862,6.885870820429862
2023-01-07 04:15:00,10.184835002962561,5.092417501481281,5.092417501481281
2023-01-07 04:30:00,9.717726845361613,4.858863422680806,4.858863422680806
2023-01-07 04:45:00,9.54387045342566,4.77193522671283,4.77193522671283
2023-01-07 05:00:00,9.707289594920162,4.853644797460081,4.853644797460081
2023-01-07 05:15:00,9.871345476200963,4.9356727381004815,4.9356727381004815
2023-01-07 05:30:00,10.923105066991004,5.461552533495502,5.461552533495502
2023-01-07 05:45:00,13.96273306776607,6.981366533883035,6.981366533883035
2023-01-07 06:00:00,18.71461962465924,9.35730981232962,9.35730981232962
2023-01-07 06:15:00,20.992196715173566,10.496098357586783,10.496098357586783
2023-01-07 06:30:00,21.844136894345777,10.922068447172888,10.922068447172888
2023-01-07 06:45:00,23.618915250124736,11.809457625062368,11.809457625062368
2023-01-07 07:00:00,38.17481263195815,19.087406315979074,19.087406315979074
2023-01-07 07:15:00,43.25417252820007,21.627086264100036,21.627086264100036
2023-01-07 07:30:00,45.86340841829771,22.931704209148855,22.931704209148855
2023-01-07 07:45:00,46.13766941608452,23.06883470804226,23.06883470804226
2023-01-07 08:00:00,47.597941159954395,23.798970579977198,23.798970579977198
2023-01-07 08:15:00,46.98156286442248,23.49078143221124,23.49078143221124
2023-01-07 08:30:00,45.516474863954016,22.758237431977008,22.758237431977008
2023-01-07 08:45:00,46.897133669633156,23.448566834816578,23.448566834816578
2023-01-07 09:00:00,46.558896757189004,23.279448378594502,23.279448378594502
2023-01-07 09:15:00,46.18187875410178,23.09093937705089,23.09093937705089
2023-01-07 09:30:00,46.987207649445914,23.493603824722957,23.493603824722957
2023-01-07 09:45:00,49.18243073402774,24.59121536701387,24.59121536701387
2023-01-07 10:00:00,40.567391921082105,20.283695960541053,20.283695960541053
2023-01-07 10:15:00,36.86328359515031,18.431641797575153,18.431641797575153
2023-01-07 10:30:00,37.29991640633108,18.64995820316554,18.64995820316554
2023-01-07 10:45:00,34.95164007267141,17.475820036335705,17.475820036335705
2023-01-07 11:00:00,29.159454643125947,14.579727321562974,14.579727321562974
2023-01-07 11:15:00,21.098256686367602,10.549128343183801,10.549128343183801
2023-01-07 11:30:00,15.582434953754355,7.791217476877177,7.791217476877177
2023-01-07 11:45:00,21.93111681575287,10.965558407876435,10.965558407876435
2023-01-07 12:00:00,37.32929703765277,18.664648518826386,18.664648518826386
2023-01-07 12:15:00,42.726819787747196,21.363409893873598,21.363409893873598
2023-01-07 12:30:00,44.619339406702544,22.309669703351272,22.309669703351272
2023-01-07 12:45:00,43.72338245356546,21.86169122678273,21.86169122678273
2023-01-07 13:00:00,39.033791368283126,19.516895684141563,19.516895684141563
2023-01-07 13:15:00,38.52156271052447,19.260781355262235,19.260781355262235
2023-01-07 13:30:00,38.417404412689045,19.208702206344523,19.208702206344523
2023-01-07 13:45:00,36.97470441424255,18.487352207121276,18.487352207121276
2023-01-07 14:00:00,37.52287850716481,18.761439253582406,18.761439253582406
2023-01-07 14:15:00,38.33543584901517,19.167717924507585,19.167717924507585
2023-01-07 14:30:00,39.712389068603805,19.856194534301903,19.856194534301903
2023-01-07 14:45:00,38.77683167064615,19.388415835323077,19.388415835323077
2023-01-07 15:00:00,35.25331179615779,17.626655898078894,17.626655898078894
2023-01-07 15:15:00,36.341434468067945,18.170717234033972,18.170717234033972
2023-01-07 15:30:00,40.453415949182514,20.226707974591257,20.226707974591257
2023-01-07 15:45:00,40.831420773364535,20.415710386682267,20.415710386682267
2023-01-07 16:00:00,40.59589264956284,20.29794632478142,20.29794632478142
2023-01-07 16:15:00,43.981288514237136,21.990644257118568,21.990644257118568
2023-01-07 16:30:00,46.10194326221253,23.050971631106265,23.050971631106265
2023-01-07 16:45:00,47.55159664476628,23.77579832238314,23.77579832238314
2023-01-07 17:00:00,47.3114205809046,23.6557102904523,23.6557102904523
2023-01-07 17:15:00,46.82827138166293,23.414135690831465,23.414135690831465
2023-01-07 17:30:00,46.69794976720754,23.34897488360377,23.34897488360377
2023-01-07 17:45:00,46.7082947691468,23.3541473845734,23.3541473845734
2023-01-07 18:00:00,46.4025704974985,23.20128524874925,23.20128524874925
2023-01-07 18:15:00,47.018046490956316,23.509023245478158,23.509023245478158
