date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],GridSim-0.Bus-5-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-4-value,GridSim-0.Bus-2-value,GridSim-0.Bus-0-value,GridSim-0.Bus-3-value,GridSim-0.Bus-1-value,FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-7-P[MW],FlexSim-0.FLSim-5-P[MW]
2016-01-01 00:00:00,0,0,-2.293808344979831,1.2365613275957206,4.153970068342071,4.218137014777376,-1.2365613275957206,-4.881007199141134,0.0,2.145112559722787,2.057215601018566,2.160921413758811,0.6807376570643129,2.389316868026323,2.008857508619284,1.6130706879155183,2.4916903311148118
2016-01-01 00:00:01,1.2365613275957206,0,-2.293808344979831,1.2365613275957206,4.153970068342071,4.218137014777376,-1.2365613275957206,-4.881007199141134,0.0,2.145112559722787,2.057215601018566,2.160921413758811,-0.18596009281588,3.053800301894325,2.008857508619284,0.825252310812024,3.2359485083363073
2016-01-01 00:15:00,1.2365613275957206,0,-2.114796680637567,0.03415367467979443,4.417392726603666,3.753031847802021,-0.03415367467979443,-6.065179492439473,0.0,2.0101823299897714,1.7824333297881942,1.9705985180138268,1.8890632273219468,3.4403339807705593,2.4072103966138947,0.22573345331562011,2.6248455116689136
2016-01-01 00:15:01,0.03415367467979443,0,-2.114796680637567,0.03415367467979443,4.417392726603666,3.753031847802021,-0.03415367467979443,-6.065179492439473,0.0,2.0101823299897714,1.7824333297881942,1.9705985180138268,1.8890632273219468,3.4403339807705593,2.4072103966138947,0.22573345331562011,2.6248455116689136
2016-01-01 00:30:00,0.03415367467979443,0,-0.9131236489134302,2.290372479049591,4.40491978255009,3.507331283624581,-2.290372479049591,-4.744426881406525,0.0,1.9468391592333911,1.8630649455649733,1.6442663380596076,0.5100439539458219,2.2456919229581422,2.4580806233166985,0.4030796949676083,2.4987349584483827
2016-01-01 00:30:01,2.290372479049591,0,-0.9131236489134302,2.290372479049591,4.40491978255009,3.507331283624581,-2.290372479049591,-4.744426881406525,0.0,1.9468391592333911,1.8630649455649733,1.6442663380596076,0.5100439539458219,2.2456919229581422,2.4580806233166985,0.4030796949676083,2.4987349584483827
2016-01-01 00:45:00,2.290372479049591,0,-1.4219545877887492,1.8057407290117682,4.400767189410798,4.075053236918285,-1.8057407290117682,-5.288314867052364,0.0,2.004297286140331,2.016513944531206,2.0585392923870787,0.6706957870736594,2.512838870576865,2.396469903270467,0.7512588007150898,2.7754759964754987
2016-01-01 00:45:01,1.8057407290117682,0,-1.4219545877887492,1.8057407290117682,4.400767189410798,4.075053236918285,-1.8057407290117682,-5.288314867052364,0.0,2.004297286140331,2.016513944531206,2.0585392923870787,0.6706957870736594,2.512838870576865,2.396469903270467,0.7512588007150898,2.7754759964754987
2016-01-01 01:00:00,1.8057407290117682,0,-1.487292881995106,2.000157592911097,3.6160728543779737,4.136015917124718,-2.000157592911097,-4.298420798069789,0.0,1.908693707504889,2.356228927890672,1.779786989234046,1.3985295966451288,2.196375303927584,1.7073791468730848,0.08876328534997713,2.102045494142205
2016-01-01 01:00:01,2.000157592911097,0,-1.487292881995106,2.000157592911097,3.6160728543779737,4.136015917124718,-2.000157592911097,-4.298420798069789,0.0,1.908693707504889,2.356228927890672,1.779786989234046,1.3985295966451288,2.196375303927584,1.7073791468730848,0.08876328534997713,2.102045494142205
