date,MASSCA-0.MosaikAgent-ExternalGrid-0.production[MW],MASSCA-0.MosaikAgent-ExternalGrid-0.consumption[MW],MASSCA-0.MosaikAgent-steptime,GridSim-0.Bus-4-value,GridSim-0.Bus-1-value,GridSim-0.Bus-3-value,GridSim-0.Bus-0-value,GridSim-0.Bus-2-value,GridSim-0.ExternalGrid-0-value,GridSim-0.Bus-5-value,FlexSim-0.FLSim-2-P[MW],FlexSim-0.FLSim-5-P[MW],FlexSim-0.FLSim-1-P[MW],FlexSim-0.FLSim-0-P[MW],FlexSim-0.FLSim-4-P[MW],FlexSim-0.FLSim-3-P[MW],FlexSim-0.FLSim-6-P[MW],FlexSim-0.FLSim-7-P[MW]
2016-01-01 00:00:00,0,0,2.4177498817443848,4.153970068342071,0.0,-2.420840029389359,-2.119039449799626,4.218137014777376,2.119039449799626,-3.8682116002265463,2.145112559722787,0.03152316135642241,2.160921413758811,2.057215601018566,2.3893168680329366,2.008857508619284,2.767701405049884,1.1005101951766623
2016-01-01 00:00:01,2.119039449799626,0,0.0420992374420166,4.153970068342071,0.0,-2.420840029389359,-2.119039449799626,4.218137014777376,2.119039449799626,-3.8682116002265463,2.145112559722787,-0.7127350158650732,2.160921413758811,2.057215601018566,3.053800301907552,2.008857508619284,3.634399154933284,-0.19986867466568814
2016-01-01 00:15:00,2.119039449799626,0,2.272470474243164,4.417392726603666,0.0,-4.689763297780563,0.1643008544968817,3.753031847802021,-0.1643008544968817,-3.686261332603571,2.0101823299897714,1.249429317008559,1.9705985180138268,1.7824333297881942,3.440333980772004,2.4072103966138947,3.678272958279149,0.007988374324421788
2016-01-01 00:15:01,0,0.1643008544968817,0.06589698791503906,4.417392726603666,0.0,-4.689763297780563,0.1643008544968817,3.753031847802021,-0.1643008544968817,-3.686261332603571,2.0101823299897714,1.249429317008559,1.9705985180138268,1.7824333297881942,3.440333980772004,2.4072103966138947,3.678272958279149,0.007988374324421788
2016-01-01 00:30:00,0,0.1643008544968817,2.3188529014587402,4.40491978255009,0.0,-3.677707256145382,-2.417627509111251,3.507331283624581,2.417627509111251,-1.849909200204383,1.9468391592333911,1.4320153331957304,1.6442663380596076,1.8630649455649733,2.2456919229496517,2.4580806233166985,2.011729406193785,-0.16182020598940206
2016-01-01 00:30:01,2.417627509111251,0,0.04684805870056152,4.40491978255009,0.0,-3.677707256145382,-2.417627509111251,3.507331283624581,2.417627509111251,-1.849909200204383,1.9468391592333911,1.4320153331957304,1.6442663380596076,1.8630649455649733,2.2456919229496517,2.4580806233166985,2.011729406193785,-0.16182020598940206
2016-01-01 00:45:00,2.417627509111251,0,2.0198025703430176,4.400767189410798,0.0,-2.690363996623106,-1.598700146402186,4.075053236918285,1.598700146402186,-4.224804588402614,2.004297286140331,0.17752512605455184,2.0585392923870787,2.016513944531206,2.512838870568554,2.396469903270467,2.769296916117102,1.455507672285513
2016-01-01 00:45:01,1.598700146402186,0,0.031259775161743164,4.400767189410798,0.0,-2.690363996623106,-1.598700146402186,4.075053236918285,1.598700146402186,-4.224804588402614,2.004297286140331,0.17752512605455184,2.0585392923870787,2.016513944531206,2.512838870568554,2.396469903270467,2.769296916117102,1.455507672285513
2016-01-01 01:00:00,1.598700146402186,0,2.0312716960906982,3.616072854377973,0.0,-3.122500119207998,-1.8642713457120466,4.136015917124718,1.8642713457120466,-2.797732510285466,1.908693707504889,0.9261248152736798,1.779786989234046,2.356228927890672,2.1963753039343183,1.7073791468730848,3.005269854213828,-0.20753734392836165
2016-01-01 01:00:01,1.8642713457120466,0,0.04737043380737305,3.616072854377973,0.0,-3.122500119207998,-1.8642713457120466,4.136015917124718,1.8642713457120466,-2.797732510285466,1.908693707504889,0.9261248152736798,1.779786989234046,2.356228927890672,2.1963753039343183,1.7073791468730848,3.005269854213828,-0.20753734392836165
